destination,country,description,category,average_cost,weather,activities
Rio de Janeiro,Brazil,"Ciudad tropical famosa por playas, samba y el Cristo Redentor",Playa,1722.84,Tropical,"Playas, senderismo, tours, photo spots"
São Paulo,Brazil,A beautiful place to enjoy compras and experience cold weather.,Aventura,5259.32,Tropical,"escalada, surfing, photo spots"
Santiago,Chile,Capital moderna rodeada de montañas y viñedos,Urbano,1269.21,Templado,"Viñedos, senderismo"
Cape Town,South Africa,"Ciudad costera con montañas, playas y vida silvestre",Aventura,2116.22,Templado,"Playas, tours"
Cairo,Egypt,"Ciudad histórica con pirámides, museos y mercado tradicional",Histórico,1167.78,Cálido,"museos, tours"
Giza,Egypt,"Ubicación de las famosas pirámides y la Esfinge, a las afueras de El Cairo",Histórico,1284.16,Cálido,"visitas arqueológicas, paseos en camello"
Luxor,Egypt,Antigua Tebas con templos y el Valle de los Reyes,Familiar,1107.32,Cálido,"tumbas, excursiones en faluca"
Aswan,Egypt,"Tranquila ciudad del sur con represa, templos y acceso al Nilo",Cultural,1328.66,Cálido,"Paseos por el Nilo, templos, mercados, adventure park"
Alexandria,Egypt,Puerto mediterráneo con historia greco-romana y bibliotecas,Cultural,1065.91,Cálido,"Museos, costa"
Dubai,United Arab Emirates,"Ciudad futurista con desierto, rascacielos y lujo",Urbano,2147.19,Cálido,"Compras, desierto"
Marrakech,Morocco,"Ciudad tradicional famosa por mercados, arquitectura y desierto",Cultural,1339.53,Cálido,"palacios, tours"
Athens,Greece,Ciudad histórica con ruinas antiguas y clima mediterráneo,Histórico,1709.93,Cálido,"Ruinas, museos"
Santorini,Greece,"Isla volcánica famosa por sus vistas, playas y arquitectura blanca",Playa,1431.79,Cálido,"Playas, tours en barco, gastronomía, photo spots"
Mykonos,Greece,"Isla conocida por playas, vida nocturna y arquitectura cicládica",Naturaleza,1992.57,Cálido,"Playas, vida nocturna"
Thessaloniki,Greece,"Segunda ciudad del país con historia, gastronomía y costa",Cultural,1098.29,Templado,"Museos, vida nocturna, paseos, adventure park"
Heraklion,Greece,"Puerto principal de Creta, puerta a playas y sitios arqueológicos",Aventura,1061.45,Cálido,"Playa, arqueología, gastronomía, local museums"
Reykjavik,Iceland,"Ciudad nórdica con paisajes únicos, geiseres y auroras boreales",Aventura,2228.02,Frío,"Geiseres, termas, excursiones, shopping"
